acc;accuracy;average_response_time;avg_rt;background;canvas_backend;correct;correct_new_1_sketchpad;correct_new_keyboard_response;correct_welcome;count_experiment;count_getting_started;count_new_1_inline_script;count_new_1_sketchpad;count_new_inline_script;count_new_keyboard_response;count_new_logger;count_new_loop;count_new_repeat_cycle;count_new_sequence;count_new_sketchpad;count_welcome;d;datetime;description;disable_garbage_collection;experiment_file;experiment_path;font_bold;font_family;font_italic;font_size;font_underline;foreground;form_clicks;fullscreen;height;i;live_row;live_row_new_loop;logfile;opensesame_codename;opensesame_version;person;repeat_cycle;response;response_new_1_sketchpad;response_new_keyboard_response;response_time;response_time_new_1_sketchpad;response_time_new_keyboard_response;response_time_welcome;response_welcome;round_decimals;sound_buf_size;sound_channels;sound_freq;sound_sample_size;start;subject_nr;subject_parity;time_experiment;time_getting_started;time_new_1_inline_script;time_new_1_sketchpad;time_new_inline_script;time_new_keyboard_response;time_new_logger;time_new_loop;time_new_repeat_cycle;time_new_sequence;time_new_sketchpad;time_welcome;title;total_correct;total_response_time;total_responses;trait;width;x;y
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;1;0;0;0;0;0;NA;0;0;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;0;0;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Riddick;0;None;w;None;1.0774320016935235;821.0231859993655;1.0774320016935235;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;40855.182396999226;44826.95481799965;NA;45650.26125699842;45651.61494899985;42720.51217199987;NA;42811.20909299898;42821.22418799918;40875.814981000076;Новый эксперимент;0;1.0774320016935235;1;winner;1024;0;1
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;2;1;1;1;1;0;NA;1;1;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;1;1;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0640820000844542;347.02643700074987;1.0640820000844542;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;40855.182396999226;47764.5665179989;45654.7573480002;48116.448723998474;48117.65743399883;42720.51217199987;NA;45752.72996199965;45759.66032799988;40875.814981000076;Новый эксперимент;0;2.1415140017779777;2;outgoing;1024;0;4
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;3;2;2;2;2;0;NA;2;2;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;2;2;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close1;0;None;w;None;1.0363469991716556;210.8993609999743;1.0363469991716556;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;40855.182396999226;50227.65876399899;48118.101746998946;50440.12913000006;50441.31474799906;42720.51217199987;NA;48215.34485099983;48221.24888399958;40875.814981000076;Новый эксперимент;0;3.1778610009496333;3;chad;1024;1;5
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;4;3;3;3;3;0;NA;3;3;0;1;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;3;3;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint2;0;None;w;None;1.0621119999996154;231.001357000423;1.0621119999996154;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;40855.182396999226;52554.394189999584;50441.784531998564;52787.064550999276;52788.27086599995;42720.51217199987;NA;50540.643102000104;50549.87175599854;40875.814981000076;Новый эксперимент;0;4.239973000949249;4;thoughtful;1024;0;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;5;4;4;4;4;0;NA;4;4;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;4;4;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Mark;0;None;w;None;1.051928000379121;180.8361559997138;1.051928000379121;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;52788.8430919993;54898.46311399924;52788.792458999524;55080.904843998724;55082.10453799984;42720.51217199987;NA;52886.84046399976;52893.50533799916;40875.814981000076;Новый эксперимент;0;5.29190100132837;5;miserable;1024;3;2
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;6;5;5;5;5;0;NA;5;5;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;5;5;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint4;0;None;w;None;1.0602170004858635;115.78261600152473;1.0602170004858635;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;52788.8430919993;57194.6106589985;55082.72960300019;57312.00813399846;57313.222532999134;42720.51217199987;NA;55182.93058299969;55189.59086599898;40875.814981000076;Новый эксперимент;0;6.352118001814233;6;cannot code;1024;0;2
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;7;6;6;6;6;0;NA;6;6;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;3;6;6;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;close1;0;None;w;None;1.0566969995124964;561.3459590003913;1.0566969995124964;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;52788.8430919993;59422.91008999928;57313.84230399999;59985.79015199903;59987.00800299957;42720.51217199987;NA;57412.025717998404;57418.03740799878;40875.814981000076;Новый эксперимент;0;7.4088150013267295;7;fancy;1024;1;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;8;7;7;7;7;0;NA;7;7;0;0;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;4;7;7;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;self;0;None;w;None;1.0551929990469944;251.77951299883716;1.0551929990469944;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;52788.8430919993;62098.374137000064;59987.8208680002;62351.77524699975;62352.994711000065;42720.51217199987;NA;60085.05855600015;60093.276965999394;40875.814981000076;Новый эксперимент;0;8.464008000373724;8;gregarious;1024;0;0
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;9;8;8;8;8;0;NA;8;8;0;3;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;1;8;8;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;Jimmy;0;None;w;None;1.0672650005290052;491.8921889984631;1.0672650005290052;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;62353.695772999345;64465.22177299994;62353.63054899972;64958.64101299958;64959.878579998986;42720.51217199987;NA;62454.00120500017;62459.894566;40875.814981000076;Новый эксперимент;0;9.531273000902729;9;fancy;1024;2;7
undefined;undefined;1;1;#3d3846;psycho;undefined;undefined;undefined;undefined;0;0;10;9;9;9;9;0;NA;9;9;0;2;Sun Nov 26 00:17:07 2023;The main experiment item;yes;trait_person_exp_enhanced_ver2_project_complete.osexp;/Users/larisa/Documents;no;mono;no;18;no;white;no;yes;768;2;9;9;/Users/larisa/Documents/subject-77.csv;Melodramatic Milgram;4.0.1;acquaint3;0;None;w;None;1.0735109990491765;263.6265029996139;1.0735109990491765;1829.568183999072;q;2;1024;2;48000;-16;experiment;77;odd;40853.973504999885;NA;62353.695772999345;67072.39793000008;64960.55390699985;67337.59439099958;67338.83920399967;42720.51217199987;NA;65059.13758399947;65067.553898999904;40875.814981000076;Новый эксперимент;0;10.604783999951906;10;thoughtful;1024;1;2
